condition,conventional_drug,alternative,efficacy,safety,evidence_level
Menstrual_Cramps,Ibuprofen,Magnesium_Supplement,High,High,Strong
Menstrual_Cramps,Ibuprofen,Heat_Therapy,High,High,Strong
Menstrual_Cramps,Ibuprofen,Yoga,Medium,High,Medium
High_Blood_Pressure,Metoprolol,DASH_Diet,High,High,Strong
High_Blood_Pressure,Metoprolol,Regular_Exercise,High,High,Strong
High_Blood_Pressure,Metoprolol,Meditation,Medium,High,Medium
Depression,Sertraline,Cognitive_Behavioral_Therapy,High,High,Strong
Depression,Sertraline,Exercise_Therapy,High,High,Strong
Depression,Sertraline,Omega_3_Supplements,Medium,High,Medium
Anxiety,Lorazepam,Mindfulness_Meditation,High,High,Strong
Anxiety,Lorazepam,Chamomile_Tea,Medium,High,Medium
Anxiety,Lorazepam,Progressive_Muscle_Relaxation,Medium,High,Medium
PCOS,Metformin,Inositol_Supplement,High,High,Strong
PCOS,Birth_Control_Pills,Spearmint_Tea,Medium,High,Medium
PCOS,Birth_Control_Pills,Low_Glycemic_Diet,High,High,Strong
Insomnia,Zolpidem,Melatonin,Medium,High,Strong
Insomnia,Zolpidem,Sleep_Hygiene,High,High,Strong
Insomnia,Zolpidem,Valerian_Root,Medium,High,Medium
Migraine,Sumatriptan,Magnesium_Supplement,High,High,Strong
Migraine,Sumatriptan,Riboflavin_B2,Medium,High,Medium
Migraine,Sumatriptan,Acupuncture,Medium,High,Medium
UTI,Ciprofloxacin,D_Mannose,Medium,High,Medium
UTI,Ciprofloxacin,Cranberry_Extract,Medium,High,Medium
UTI,Ciprofloxacin,Increased_Water_Intake,Medium,High,Strong
